상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,도로명주소,구우편번호,신우편번호,경도,위도
세븐일레븐수원곡반,소매,종합 소매,편의점,경기도 수원시 권선구 동수원로146번길 101,441400.0,16667,127.034094370801,37.2458056628857
중앙할인마트,소매,종합 소매,슈퍼마켓,경기도 광명시 광명로831번길 4,423016.0,14291,126.851192093367,37.473830010818
엘마트,소매,종합 소매,슈퍼마켓,경기도 시흥시 은행로 70,429835.0,14920,126.796391503092,37.438239431628
씨유서천힐스점,소매,종합 소매,편의점,경기도 용인시 기흥구 서천동로43번길 5-20,446906.0,17106,127.076733785518,37.236396815655
세븐광명하안대로점주,소매,종합 소매,편의점,경기도 광명시 범안로 1035,423847.0,14248,126.877925166119,37.4619402845343
지에스25안양병목점,소매,종합 소매,편의점,경기도 안양시 만안구 병목안로 8,430837.0,14001,126.919407047488,37.3995894745974
진성푸드,소매,종합 소매,슈퍼마켓,경기도 하남시 춘궁로159번길 72-26,465060.0,13022,127.194961261631,37.5023698322926
통일로마트,소매,종합 소매,슈퍼마켓,경기도 파주시 독암길 10,413011.0,10932,126.782475962008,37.7552728975325
씨유매산로2가점,소매,종합 소매,편의점,경기도 수원시 팔달구 향교로57번길 13,442847.0,16456,127.006753425051,37.2701835940356
지에스25이동파크점,소매,종합 소매,슈퍼마켓,경기도 안산시 상록구 도매시장로1길 40,426856.0,15508,126.859542832438,37.3123771360358
스마트알,소매,종합 소매,슈퍼마켓,경기도 여주시 대신면 여양1로 304,469842.0,12608,127.574271356079,37.410458093944
미니스톱안산송호점,소매,종합 소매,편의점,경기도 안산시 상록구 송호1길 53,426862.0,15487,126.846521411553,37.3140458978122
이마트24동안산,소매,종합 소매,편의점,경기도 안산시 상록구 월피로 91,426854.0,15273,126.85278406723,37.3363183561145
GS25광명한진점,소매,종합 소매,편의점,경기도 광명시 광명로887번길 20-1,423858.0,14285,126.85170158291,37.4791646242036
뉴라이프포커스,소매,종합 소매,슈퍼마켓,경기도 용인시 기흥구 기흥로 25,446735.0,16973,127.115542630526,37.2785971807426
팔달슈퍼,소매,종합 소매,슈퍼마켓,경기도 수원시 팔달구 창룡대로103번길 135,442160.0,16255,127.019993134594,37.283220150434
용가리마트둔전점,소매,종합 소매,슈퍼마켓,경기도 용인시 처인구 포곡읍 포곡로 87,449812.0,17027,127.215349564681,37.2686003232876
알뜰구판장,소매,종합 소매,슈퍼마켓,경기도 파주시 금정24길 26,413011.0,10929,126.774203404558,37.7627713847624
이마트24양평서종,소매,종합 소매,편의점,경기도 양평군 서종면 중미산로 419,476812.0,12501,127.388324795793,37.6065697514315
세븐일레븐여주,소매,종합 소매,편의점,경기도 여주시 도예로 102,469121.0,12636,127.645395034553,37.3112591984507
이마트24미사현대,소매,종합 소매,편의점,경기도 하남시 미사대로 540,465013.0,12925,127.206105793244,37.557591225128
자원휴게소,소매,종합 소매,슈퍼마켓,경기도 여주시 여양로 572,469121.0,12635,127.647984729837,37.3304097008592
칠성마트,소매,종합 소매,슈퍼마켓,경기도 시흥시 정왕천로375번길 25-1,429856.0,15058,126.747084268855,37.3428162392186
하드마켓,소매,종합 소매,슈퍼마켓,경기도 광주시 마루들길 247,464896.0,12793,127.258893852254,37.3780604164678
원마트할인,소매,종합 소매,슈퍼마켓,경기도 화성시 향남읍 토성로 191,445924.0,18589,126.944123040951,37.118081913128
재준마트,소매,종합 소매,슈퍼마켓,경기도 광주시 곤지암읍 만선로 50,464932.0,12721,127.406506206461,37.3674816598027
씨유곡반,소매,종합 소매,편의점,경기도 수원시 권선구 동수원로146번길 188,441400.0,16667,127.03308983776,37.2425441643873
별썸,소매,종합 소매,슈퍼마켓,경기도 안산시 단원구 아랫동심길 76,425340.0,15653,126.571581856106,37.2123548278377
아셀아셀한마켓,소매,종합 소매,슈퍼마켓,경기도 포천시 어룡3길 46-30,487050.0,11150,127.17503485072,37.883675851134
씨유야탑타워빌점,소매,종합 소매,편의점,경기도 성남시 분당구 야탑로 72,463840.0,13520,127.126824225652,37.4095772801328
메가마트삼성전자기흥교육동매점,소매,종합 소매,슈퍼마켓,경기도 용인시 기흥구 서천동로 59,446906.0,17112,127.078377251038,37.2345846363253
씨유평택여중점,소매,종합 소매,편의점,경기도 평택시 평택4로 67,450806.0,17898,127.101225769323,36.9938659194607
초월농업협동조합하나로마트,소매,종합 소매,슈퍼마켓,경기도 광주시 초월읍 경충대로 926,464962.0,12799,127.311465717695,37.3651030915157
응응스크르동두천모랫,소매,종합 소매,슈퍼마켓,경기도 동두천시 생연로 72,483741.0,11344,127.049788022198,37.898922329002
융창할인마트,소매,종합 소매,슈퍼마켓,경기도 안양시 동안구 귀인로 108,431837.0,14081,126.951752574246,37.3820822048298
지에스25송탄메디컬점,소매,종합 소매,편의점,경기도 평택시 지산로 70,459110.0,17763,127.062382913634,37.0797923235981
아이스크레이지,소매,종합 소매,슈퍼마켓,경기도 고양시 덕양구 덕수천2로 150,412090.0,10595,126.895637357873,37.6485628014362
씨유상동라일락점,소매,종합 소매,편의점,경기도 부천시 원미구 도약로 19,420860.0,14504,126.751431889267,37.512837958545
씨유운정수자인점,소매,종합 소매,편의점,경기도 파주시 가람로 70,413953.0,10895,126.758395119527,37.7346569255605
화서마트,소매,종합 소매,슈퍼마켓,경기도 수원시 장안구 대평로 27,440302.0,16318,126.995703370565,37.2885739315175
지에스25팽성언덕,소매,종합 소매,편의점,경기도 평택시 팽성읍 송화3길 1,451803.0,17981,127.050300113516,36.9538811807295
씨유남양주일패점,소매,종합 소매,편의점,경기도 남양주시 경춘로 699,472932.0,12243,127.185191351741,37.621794473883
크란츠스파랜드남탕매점,소매,종합 소매,슈퍼마켓,경기도 성남시 중원구 둔촌대로 388,462729.0,13403,127.159290694704,37.4326310691712
세븐일레븐처인김량장점,소매,종합 소매,편의점,경기도 용인시 처인구 금령로27번길 6,449925.0,17050,127.199274749413,37.2352178144731
다함푸드서비스,소매,종합 소매,슈퍼마켓,경기도 하남시 신장1로16번길 2,465810.0,12960,127.209795645887,37.537510506869
이마트24판교모비우스점,소매,종합 소매,편의점,경기도 성남시 분당구 석운로 440,463440.0,13545,127.063892759237,37.3903101407434
지에스25화성석포,소매,종합 소매,편의점,경기도 화성시 장안면 석포로 330,445941.0,18574,126.827496307311,37.1432263371882
지에스25안산신영점,소매,종합 소매,편의점,경기도 안산시 상록구 용신로 381,426815.0,15532,126.86438973905,37.3019488052921
피쉬파크,소매,종합 소매,슈퍼마켓,경기도 시흥시 정왕대로27번길 11,429775.0,15029,126.721592050782,37.3577430602567
씨유푸른솔점,소매,종합 소매,편의점,경기도 양주시 고읍로35번길 29-3,482020.0,11481,127.080754043396,37.8004851239749
세븐일레븐평택지산1로점,소매,종합 소매,편의점,경기도 평택시 지산1로 67,459110.0,17756,127.058402851209,37.0812360622207
타운편의점,소매,종합 소매,슈퍼마켓,경기도 부천시 원미구 중동로248번길 105,420852.0,14548,126.774676571962,37.5012706559989
GS25부천한신점,소매,종합 소매,편의점,경기도 부천시 원미구 중동로 190,420721.0,14581,126.768018552218,37.4966266064306
오케이아이스크림할인점,소매,종합 소매,슈퍼마켓,경기도 양주시 옥정서로 130,482130.0,11472,127.087517172472,37.8257701827321
씨유매탄,소매,종합 소매,편의점,경기도 수원시 영통구 권선로794번길 8-1,443804.0,16549,127.037615798368,37.2556980612983
