상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,도로명주소,구우편번호,신우편번호,경도,위도
지디알아카데미광교도청점,예술·스포츠,스포츠 서비스,골프 연습장,경기도 수원시 영통구 도청로17번길 10,443270.0,16509,127.05399367557,37.2861108700592
비타민휘트니스,예술·스포츠,스포츠 서비스,헬스장,경기도 광주시 곤지암읍 경충대로 766,464937.0,12800,127.325503959077,37.3561451585656
Moonstar휘트니스,예술·스포츠,스포츠 서비스,헬스장,경기도 하남시 덕풍동로 111,465831.0,12927,127.208442058065,37.5511990602911
허리우드당구장,예술·스포츠,스포츠 서비스,당구장,경기도 시흥시 월곶중앙로 58,429834.0,14966,126.739002262595,37.3889401312945
미즈슬림스피닝,예술·스포츠,스포츠 서비스,헬스장,경기도 시흥시 연성로 23,429252.0,14976,126.80610748271,37.39070004756
에프와이에스골프,예술·스포츠,스포츠 서비스,골프 연습장,경기도 성남시 분당구 대왕판교로 670,463400.0,13494,127.10610926848,37.4020741678968
필로스당구장,예술·스포츠,스포츠 서비스,당구장,경기도 의정부시 시민로121번길 60,480842.0,11695,127.050271905856,37.740822179353
쭌당구장,예술·스포츠,스포츠 서비스,당구장,경기도 화성시 용주로 25,445380.0,18362,127.013968378395,37.2051724807233
대디클럽,예술·스포츠,스포츠 서비스,당구장,경기도 고양시 일산동구 중앙로 1080,410816.0,10447,126.78523224131,37.6456384466215
크로스핏웨스트,예술·스포츠,스포츠 서비스,헬스장,경기도 안산시 상록구 조구나리1길 19,426862.0,15486,126.843418780158,37.3142130295782
당구당구,예술·스포츠,스포츠 서비스,당구장,경기도 수원시 권선구 하탑로 42,441100.0,16610,126.97619995835,37.2688298323815
존케이지빌리어즈,예술·스포츠,스포츠 서비스,당구장,경기도 남양주시 천마산로 21,472120.0,12141,127.247449175266,37.6635760117619
산본탁구클럽,예술·스포츠,스포츠 서비스,탁구장,경기도 군포시 고산로 679,435849.0,15802,126.933978532172,37.3710811150182
킹당구장,예술·스포츠,스포츠 서비스,당구장,경기도 남양주시 별내중앙로 26,472501.0,12113,127.125966862502,37.6456946049022
이루다골프,예술·스포츠,스포츠 서비스,골프 연습장,경기도 시흥시 은계번영길 1,429060.0,14922,126.801616362559,37.4365634196788
김포탁구클럽,예술·스포츠,스포츠 서비스,탁구장,경기도 김포시 양촌읍 양곡2로30번길 7-7,415845.0,10062,126.627450132919,37.6543906303072
롯데골프아카데미,예술·스포츠,스포츠 서비스,골프 연습장,경기도 용인시 수지구 만현로 27,448517.0,16928,127.088498652989,37.3130671331799
에스지골프부천,예술·스포츠,스포츠 서비스,골프 연습장,경기도 부천시 원미구 길주로 105,420747.0,14542,126.754133707954,37.5063924355436
성림헬스클럽,예술·스포츠,스포츠 서비스,헬스장,경기도 구리시 동구릉로 65,471834.0,11919,127.13388393753,37.6059614024523
바디원오원,예술·스포츠,스포츠 서비스,헬스장,경기도 시흥시 배곧3로 80,,15011,126.729063530358,37.3705459428403
제이씨스포츠,예술·스포츠,스포츠 서비스,헬스장,경기도 시흥시 뱀내장터로 23,429812.0,14909,126.787318448913,37.442034742086
스포짐판교,예술·스포츠,스포츠 서비스,헬스장,경기도 성남시 분당구 분당내곡로 117,463420.0,13529,127.11223037424,37.3942566622735
그린당구장,예술·스포츠,스포츠 서비스,당구장,경기도 부천시 원미구 부천로 42,420822.0,14641,126.784044721604,37.4880343659165
골프존아카데미,예술·스포츠,스포츠 서비스,골프 연습장,경기도 고양시 일산동구 중앙로 1160,410811.0,10414,126.778893908289,37.6509155004123
모두에,예술·스포츠,스포츠 서비스,테니스장,경기도 파주시 미래로602번길 43,413190.0,10895,126.751618750979,37.7323633924746
RADGYM,예술·스포츠,스포츠 서비스,헬스장,경기도 부천시 소사구 경인로 520,422826.0,14676,126.812954813211,37.4844075644496
다빈치당구클럽,예술·스포츠,스포츠 서비스,당구장,경기도 수원시 팔달구 효원로265번길 44,442835.0,16490,127.031746370118,37.2639443218411
베러덴휘트니스,예술·스포츠,스포츠 서비스,헬스장,경기도 성남시 분당구 야탑로75번길 15,463828.0,13497,127.126826899036,37.4111630711298
헬스보이짐,예술·스포츠,스포츠 서비스,헬스장,경기도 수원시 팔달구 권광로 181,442835.0,16490,127.032219775498,37.2637459646815
스카이,예술·스포츠,스포츠 서비스,골프 연습장,경기도 부천시 원미구 조마루로385번길 122,420857.0,14556,126.791537626044,37.5015809249119
오페라당구클럽,예술·스포츠,스포츠 서비스,당구장,경기도 안양시 만안구 와룡로 30,430853.0,13974,126.89787083763,37.4070513049089
현대당구장,예술·스포츠,스포츠 서비스,당구장,경기도 안산시 상록구 충장로 586,426853.0,15279,126.851046985849,37.3302432344398
스타락볼링센타,예술·스포츠,스포츠 서비스,볼링장,경기도 남양주시 오남읍 양지로 57,472883.0,12048,127.2059258411,37.6853063111795
애니데이피트니스,예술·스포츠,스포츠 서비스,헬스장,경기도 용인시 수지구 현암로 165,448808.0,16876,127.127663913368,37.3318899763864
에스비에스당구클럽,예술·스포츠,스포츠 서비스,당구장,경기도 안산시 단원구 시화호수로841번길 28-21,425080.0,15657,126.761865890491,37.2970114409947
그라비티테니스,예술·스포츠,스포츠 서비스,테니스장,경기도 부천시 원미구 소향로253번길 25,420852.0,14548,126.775557492495,37.5016687747888
유한스크린골프,예술·스포츠,스포츠 서비스,골프 연습장,경기도 평택시 진위면 송탄고가길 74,451865.0,17715,127.06400170837,37.0923793969719
다산당구클럽,예술·스포츠,스포츠 서비스,당구장,경기도 남양주시 다산중앙로123번길 22-30,,12248,127.152100316017,37.6254997721099
비오티짐,예술·스포츠,스포츠 서비스,헬스장,경기도 고양시 덕양구 화중로130번길 24,412826.0,10477,126.833008567536,37.6383997617907
크라운짐휘트니스,예술·스포츠,스포츠 서비스,헬스장,경기도 부천시 원미구 상동로117번길 31,420861.0,14543,126.751720687836,37.507603742265
김영희탁구교실,예술·스포츠,스포츠 서비스,탁구장,경기도 군포시 광정로 78,435804.0,15865,126.929766553876,37.3600050732848
하니당구클럽,예술·스포츠,스포츠 서비스,당구장,경기도 이천시 갈산로 15,467802.0,17348,127.455040551548,37.2894203141039
국제롤라장,예술·스포츠,스포츠 서비스,테니스장,경기도 부천시 원미구 송내대로 239,420864.0,14545,126.756708347621,37.5041452583626
V.I.PPARK,예술·스포츠,스포츠 서비스,당구장,경기도 양주시 장흥면 일영로 601-233,482813.0,11524,126.924800932524,37.6970306626634
바디카인드,예술·스포츠,스포츠 서비스,헬스장,경기도 고양시 덕양구 동송로 23-50,412090.0,10595,126.892466129104,37.647469763912
드림골프아카데미,예술·스포츠,스포츠 서비스,골프 연습장,경기도 구리시 원수택로 4,471816.0,11941,127.139589650444,37.5927282550469
큐당구장,예술·스포츠,스포츠 서비스,당구장,경기도 수원시 권선구 곡반정로65번길 11,441400.0,16672,127.027958856526,37.2345351877955
크로스핏로얄,예술·스포츠,스포츠 서비스,헬스장,경기도 고양시 일산서구 덕이로 328-12,411809.0,10227,126.731085741202,37.7041359928824
청학탁구클럽,예술·스포츠,스포츠 서비스,탁구장,경기도 남양주시 별내면 청학로68번길 7,472811.0,12084,127.119268045419,37.7080582933422
밥스짐,예술·스포츠,스포츠 서비스,헬스장,경기도 성남시 분당구 백현로156번길 9,463848.0,13609,127.114725883493,37.3718548227793
